avbid,store_code,name,locale,url
n0013,n0013_kiosk,Frazier's Appliance Store View Kiosq - n0013_kiosk,en_US,https://kiosq.fraziersappliance.com/
usla1,usla1_kiosq,Slager Appliances Store View Kiosq - usla1_kiosq,en_US,https://kiosq.slagerappliances.com/
kgil1,kgil1_kiosq,Klein’s BrandSource Store View Kiosq - kgil1_kiosq,en_US,https://kiosq.kleinsbrandsource.com/
gkus1,gkus1_kiosq,Kusel’s Furniture & Appliance Store View Kiosq - gkus1_kiosq,en_US,https://kiosq.kusels.com/
hwea2,hwea2_kiosq,Weather Store View Kiosq - hwea2_kiosq,en_US,https://kiosq.shopweathers.com/
u0010,u0010_kiosq,M & H Appliance Store View Kiosq - u0010_kiosq,en_US,https://kiosq.applianceandelectronics.com/
qgre2,qgre2_kiosq,Great Rooms Furniture and Mattresses Store View Kiosq - qgre2_kiosq,en_US,https://kiosq.greatroomsgaylord.com/
gbec1,gbec1_kiosq,Beck's Home Furnishings Store View Kiosq - gbec1_kiosq,en_US,https://kiosq.shopbecks.com/
fken1,fken1_kiosq,Ken's Appliances and SleepSource Store View Kiosq - fken1_kiosq,en_US,https://kiosq.kensgi.com/
qmil2,qmil2_kiosq,Millar's of Bay City Store View Kiosq - qmil2_kiosq,en_US,https://kiosq.millarsappliance.com/
g0021,g0021_kiosq,Hutch's Home Furnishings Store View Kiosq - g0021_kiosq,en_US,https://kiosq.hutchshome.com/
gdel1,gdel1_kiosq,Dell's Home Appliance & Mattress Center Store View Kiosq - gdel1_kiosq,en_US,https://kiosq.dellshomeappliances.com/
uton1,uton1_kiosq,Tony's Appliance Store View Kiosq - uton1_kiosq,en_US,https://kiosq.tonysappliance.com/
dpar1,dpar1_kiosq,Pardini Appliance Store View Kiosq - dpar1_kiosq,en_US,https://kiosq.pardiniappliance.com/
d0006,d0006_kiosq,Foothill Appliance Store View Kiosq - d0006_kiosq,en_US,https://kiosq.foothillappliance.com/
uvol1,uvol1_kiosq,Volkmann Appliance Store View Kiosq - uvol1_kiosq,en_US,https://kiosq.volkmannappliance.com/
llue1,llue1_kiosq,Luecke Audio Video Store View Kiosq - llue1_kiosq,en_US,https://llue1-kiosq-staging.avbmarketing.com/
jjoh1,jjoh1_kiosq,John Plyler Home Center Store View Kiosq - jjoh1_kiosq,en_US,https://kiosq.johnplylerhomecenterappliance.com/
ijef1,ijef1_kiosq,Jeff's Appliances Store View Kiosq - ijef1_kiosq,en_US,https://kiosq.jeffshomeappliances.com/
dcen1,dcen1_kiosq,Center Appliance Store View Kiosq - dcen1_kiosq,en_US,https://kiosq.centerappliance.com/
bs0013,bs0013_kiosk,Kensington Square Furniture Store View Kiosq - bs0013_kiosk,en_US,https://kiosq.kensingtonfurniture.com/
b0005,b0005_kiosk,Friedmans Appliance Store View Kiosq - b0005_kiosk,en_US,https://kiosq.friedmansappliance.com/
g0007,g0007_kiosq,Appliances & More Store View Kiosq - g0007_kiosq,en_US,https://kiosq.appliancesandmorellc.com/
g0006,g0006_kiosq,JB Appliance Store View Kiosq - g0006_kiosq,en_US,https://kiosq.jbwyo.com/
f0038,f0038_kiosq,Schroeder's Appliance Center Store View Kiosq - f0038_kiosq,en_US,https://kiosq.schroedersappliance.com/
qcol1,qcol1_kiosq,Cole's Appliance & Home Furnishings Store View Kiosq - qcol1_kiosq,en_US,https://kiosq.colesappliance.com/
ncli1,ncli1_kiosq,Clinton Appliance & Furniture Store View Kiosq - ncli1_kiosq,en_US,https://kiosq.clintonappliance.com/
k0010,k0010_kiosq,Alton Refrigeration Store View Kiosq - k0010_kiosq,en_US,https://kiosq.altonrefrigeration.com/
bste2,bste2_kiosq,Stewart TV & Appliances Store View Kiosq - bste2_kiosq,en_US,https://kiosq.stewartappliance.com/
imye1,imye1_kiosq,Myers Appliance Store View Kiosq - imye1_kiosq,en_US,https://kiosq.myersappliance.com/
j0033,j0033_kiosq,Appliance Solutions Website Kiosq - j0033_kiosq ,en_US,https://j0033-kiosq-staging.avbmarketing.com/
ah0308,ah0308_kiosq,Bloomington Furniture Store View Kiosq - ah0308_kiosq,en_US,https://kiosq.bloomingtonfurniture.com/
ojoh8,ojoh8_kiosq,Johnson Appliance Store View Kiosq - ojoh8_kiosq,en_US,https://kiosq.johnsonappliancekewanee.com/
p0032_3_kiosq,p0032_3_kiosq,iDeal Furniture Store View Kiosq - p0032_3_kiosq,en_US,https://p0032-3-kiosq-staging.avbmarketing.com/
psof1,psof1_kiosq,Sofas Unlimited Store View Kiosq - psof1_kiosq,en_US,https://kiosq.sofasunlimited.com/
bs0022,bs0022_kiosq,Liddiard's Home Furnishings Store View Kiosq - bs0022_kiosq,en_US,https://kiosq.liddiardhf.com/
oart1,oart1_kiosq,Village Home Stores Store View Kiosq - oart1_kiosq,en_US,https://kiosq.villagehomestores.com/
dasi1,dasi1_kiosq,Asien’s Appliance Store View Kiosq - dasi1_kiosq,en_US,https://kiosq.asiensappliance.com/
jcom1,jcom1_kiosq,Comanche Appliance Store View Kiosq - jcom1_kiosq,en_US,https://kiosq.comancheappliance.com/
b0022,b0022_kiosq,Southeastern Appliances Store View Kiosq - b0022_kiosq,en_US,https://kiosq.seappliances.com/
i0018,i0018_kiosq,Elgin Furniture & Appliance Store View Kiosq - i0018_kiosq,en_US,https://kiosq.elginfurniture.com/
k0001,k0001_kiosq,Denny's Appliance Store View Kiosq - k0001_kiosq,en_US,https://kiosq.dennysappliance.net/
u0033,u0033_kiosq,Heartland Hardware Store View Kiosq - u0033_kiosq,en_US,https://kiosq.heartlandappliance.com/
kdic1,kdic1_kiosq,Dick Van Dyke Appliance World Store View Kiosq - kdic1_kiosq,en_US,https://kiosq.appliance-world.com/
vcar7,vcar7_catalog,Carolina Custom Sound Store View Catalog - vcar7_catalog,en_US,https://catalog.carolinacustomsound.com/
vavd2,vavd2_catalog,AV Design Consultants Store View Catalog - vavd2_catalog,en_US,https://catalog.avdci.com/
ujon1,ujon1_kiosq,Jones Appliance & TV Store View Kiosq - ujon1_kiosq,en_US,https://kiosq.jonesapplianceandtv.com/
klyl1,klyl1_kiosq,Lyle's TV & Appliance Store View Kiosq - klyl1_kiosq,en_US,https://klyl1-kiosq-staging.avbmarketing.com/
upla2,upla2_kiosq,Plaza TV & Appliance Store View - upla2_kiosq,en_US,https://upla2-kiosq-staging.avbmarketing.com/
n0005,n0005_kiosq,MVB Appliance & Mattress Store View Kiosq - n0005_kiosq,en_US,https://kiosq.mvbappliance.com/
bgra1,bgra1_kiosq,Grand Appliance and TV Store View Kiosq - bgra1_kiosq,en_US,https://kiosq.grandappliance.com/
qyou1,qyou1_kiosq,Young Appliance Store View Kiosq - qyou1_kiosq,en_US,https://kiosq.youngappliance.com/
u0038,u0038_kiosq,Patzer's Inc Store View - u0038_kiosq,en_US,https://u0038-kiosq-staging.avbmarketing.com/
rrma1,rrma1,Aztec Appliance Store View - rrma1,en_US,https://www.aztecappliance.com/
k0002,k0002,Young's Appliance Store View - k0002,en_US,https://www.youngsappliances.com/
gnam1,gnam1,Nampa Appliance & TV Store View - gnam1,en_US,https://www.nampabrandsource.com/
nhig1,nhig1,Highland TV and Appliance Store View -nhig1,en_US,https://www.highlandtvonline.com/
kgil1,kgil1,Klein’s BrandSource Store View - kgil1,en_US,https://www.kleinsbrandsource.com/
etim1,etim1,Tim's Appliance and Mattress Store View - etim1,en_US,https://www.timsapplianceandmattress.com/
ojoh1,ojoh1,Dependable Maytag Store View - ojoh1,en_US,https://www.dependablemaytagstore.com/
fste3,fste3,Stewart Appliance Store View - fste3,en_US,https://www.stewartapplianceolathe.com/
gdue2,gdue2,Duerden's Appliance & Mattresses Store View - gdue2,en_US,https://www.duerdensappliance.com/
gdel1,gdel1,Dell's Home Appliance & Mattress Center Store View - gdel1,en_US,https://www.dellshomeappliances.com/
ojjg1,ojjg1,JJ Gloss Home Appliance Center Store View - ojjg1,en_US,https://www.jjglossappliance.com/
bdix1,bdix1,Dixon's Appliance Center Store View - bdix1,en_US,https://www.godixons.com/
oapp5,oapp5,Quality The Maytag Store Store View - oapp5,en_US,https://www.qualitymaytag.com/
